Product_name,pricing,Ratings
Apple iPhone 6 (Space Grey |  32 GB) , Rs.23999,4.4
Apple iPhone 7 (Black |  32 GB) , Rs.39900,4.5
Apple iPhone 6s (Space Grey |  32 GB) , Rs.29499,4.5
Apple iPhone SE (Space Grey |  32 GB) , Rs.18999,4.5
Apple iPhone 6s (Gold |  32 GB) , Rs.29499,4.4
Apple iPhone SE (Rose Gold |  32 GB) , Rs.18999,4.5
Apple iPhone 7 (Rose Gold |  32 GB) , Rs.39900,4.5
Apple iPhone 6s Plus (Gold |  32 GB) , Rs.34499,4.4
Apple iPhone 6s Plus (Space Grey |  32 GB) , Rs.34499,4.5
Apple iPhone 7 (Gold |  32 GB) , Rs.39900,4.5
Apple iPhone 6 (Gold |  32 GB) , Rs.23999,4.4
Apple iPhone 6s Plus (Rose Gold |  32 GB) , Rs.34499,4.4
Apple iPhone 6s (Rose Gold |  32 GB) , Rs.29499,4.4
Apple iPhone 6s (Silver |  32 GB) , Rs.29499,4.4
Apple iPhone SE (Silver |  32 GB) , Rs.18999,4.4
Apple iPhone 7 (Silver |  32 GB) , Rs.39900,4.5
Apple iPhone SE (Gold |  32 GB) , Rs.18999,4.5
Apple iPhone 7 (Jet Black |  32 GB) , Rs.41900,4.5
Apple iPhone XS (Gold |  64 GB) , Rs.99900,4.7
Apple iPhone 8 (Space Grey |  64 GB) , Rs.58999,4.5
Apple iPhone 6s Plus (Silver |  32 GB) , Rs.34499,4.5
Apple iPhone XR (Black |  128 GB) , Rs.81900,4.8
Apple iPhone XS Max (Space Grey |  64 GB) , Rs.109900,4.7
Apple iPhone 8 Plus (Gold |  64 GB) , Rs.69999,4.6
